Skills category,Skills sub-category,Finer-aspects
Communication collaboration and emotional intelligence,Collaboration,Active listening
Communication collaboration and emotional intelligence,Collaboration,Active participation in activities
Communication collaboration and emotional intelligence,Collaboration,Inclusiveness of thought and action
Communication collaboration and emotional intelligence,Collaboration,Active verbal skills
Communication collaboration and emotional intelligence,Collaboration,Adaptability
Communication collaboration and emotional intelligence,Collaboration,Co-ordination skills
Communication collaboration and emotional intelligence,Collaboration,Accountability
Communication collaboration and emotional intelligence,Collaboration,Assertiveness
Communication collaboration and emotional intelligence,Collaboration,Problem solving skills
Communication collaboration and emotional intelligence,Collaboration,Team Player
Communication collaboration and emotional intelligence,Collaboration,Understanding work process
Communication collaboration and emotional intelligence,Collaboration,Understanding my behavior in team work
Communication collaboration and emotional intelligence,Collaboration,Understanding my role in team work
Communication collaboration and emotional intelligence,Collaboration,Taking initiative in team work
Communication collaboration and emotional intelligence,Collaboration,Taking responsibility
Communication collaboration and emotional intelligence,Collaboration,Communication that helps avoiding conflicts
Communication collaboration and emotional intelligence,Communication,Eye contact
Communication collaboration and emotional intelligence,Communication,Body Language
Communication collaboration and emotional intelligence,Communication,Choice of words
Communication collaboration and emotional intelligence,Communication,Tone of expression
Communication collaboration and emotional intelligence,Communication,Clarity in expressing views
Communication collaboration and emotional intelligence,Communication,Persuasion skills
Communication collaboration and emotional intelligence,Communication,Public speaking
Communication collaboration and emotional intelligence,Communication,Presentation skills
Communication collaboration and emotional intelligence,Communication,Expressing opinion
Communication collaboration and emotional intelligence,interpersonal communication,Empathetic Listening
Communication collaboration and emotional intelligence,interpersonal communication,Good verbal communication
Communication collaboration and emotional intelligence,interpersonal communication,Analytical approach
Communication collaboration and emotional intelligence,interpersonal communication,Good eye contact
Communication collaboration and emotional intelligence,interpersonal communication,Approachability
Communication collaboration and emotional intelligence,interpersonal communication,Good social skills
Communication collaboration and emotional intelligence,interpersonal communication,Wittiness
Communication collaboration and emotional intelligence,interpersonal communication,Clear Communication
Communication collaboration and emotional intelligence,interpersonal communication,Active listening
Communication collaboration and emotional intelligence,interpersonal communication,Communicating emotions and needs
Communication collaboration and emotional intelligence,interpersonal communication,Giving feedback
Communication collaboration and emotional intelligence,interpersonal communication,Receiving feedback
Communication collaboration and emotional intelligence,interpersonal communication,Assertive communication
Communication collaboration and emotional intelligence,interpersonal communication,Resolving interpersonal conflicts
Communication collaboration and emotional intelligence,interpersonal communication,Non-verbal communication
Communication collaboration and emotional intelligence,interpersonal communication,Negotiation
Communication collaboration and emotional intelligence,interpersonal communication,Networking
Communication collaboration and emotional intelligence,Emotional intelligence,Control over emotions
Communication collaboration and emotional intelligence,Emotional intelligence,Ability to express feelings
Communication collaboration and emotional intelligence,Emotional intelligence,Good verbal expression
Communication collaboration and emotional intelligence,Emotional intelligence,Empathy
Communication collaboration and emotional intelligence,Emotional intelligence,Rational thinking
Communication collaboration and emotional intelligence,Emotional intelligence,Prioritising actions over emotions
Communication collaboration and emotional intelligence,Emotional intelligence,Understanding my emotions
Communication collaboration and emotional intelligence,Emotional intelligence,Expressing emotions
Communication collaboration and emotional intelligence,Emotional intelligence,Understanding others' emotions
Communication collaboration and emotional intelligence,Emotional intelligence,Decision making based on both emotions and rational thinking
Communication collaboration and emotional intelligence,Emotional intelligence,Helping others regulate their emotions
Communication collaboration and emotional intelligence,Non-violent comunication,Staying patient
Communication collaboration and emotional intelligence,Non-violent comunication,Staying consistent with the communication
Communication collaboration and emotional intelligence,Non-violent comunication,Adopt persuasiveness
Communication collaboration and emotional intelligence,Non-violent comunication,Staying peaceful and loving
Communication collaboration and emotional intelligence,Non-violent comunication,Solve conflicts through negotiations
Communication collaboration and emotional intelligence,Negotiation,Forseeing situations
Communication collaboration and emotional intelligence,Negotiation,Reading minds
Communication collaboration and emotional intelligence,Negotiation,Anticipating outcomes
Communication collaboration and emotional intelligence,Negotiation,Reading body language and facial expressions
Communication collaboration and emotional intelligence,Negotiation,Keeping a calm and neutral attitude
Communication collaboration and emotional intelligence,Negotiation,Presenting arguments in a clever way
Communication collaboration and emotional intelligence,Negotiation,Finding common ground with the other party
Communication collaboration and emotional intelligence,Empowerment of Others,Identifying shortcomings
Communication collaboration and emotional intelligence,Empowerment of Others,Encouragement
Communication collaboration and emotional intelligence,Empowerment of Others,Emotional empathy
Communication collaboration and emotional intelligence,Empowerment of Others,Motivating others
Communication collaboration and emotional intelligence,Empowerment of Others,Helping others see goodness in every situation
Communication collaboration and emotional intelligence,Empowerment of Others,Giving others their needed space
Communication collaboration and emotional intelligence,Empowerment of Others,Allowing others to show their vulnerabitlities
Communication collaboration and emotional intelligence,Relationship curation,Embracing differences
Communication collaboration and emotional intelligence,Relationship curation,Acceptance of the system
Communication collaboration and emotional intelligence,Relationship curation,Good social skills
Communication collaboration and emotional intelligence,Relationship curation,Tolerance
